Siparis_ID,Siparis_Tarihi,Musteri_ID,Ad,Sehir,Urun_ID,Kategori,Birim_Fiyat,Adet,Toplam_Tutar
5056,2023-07-15,M060,Fatma,Antalya,U015,Kitap,278,3,834
5057,2023-09-12,M019,Elif,İstanbul,U001,Elektronik,2389,3,7167
5058,2023-07-16,M020,Canan,İzmir,U015,Kitap,278,2,556
5059,2023-07-10,M065,Ayşe,İzmir,U016,Elektronik,2627,1,2627
5060,2023-09-08,M063,Ali,İstanbul,U019,Elektronik,4784,1,4784
5061,2023-07-25,M061,Elif,İstanbul,U009,Giyim,407,2,814
5062,2023-10-23,M067,Canan,Bursa,U012,Kitap,276,3,828
5063,2023-08-21,M049,Ayşe,Bursa,U005,Kitap,454,3,1362
5064,2023-06-15,M041,Fatma,Antalya,U005,Kitap,454,2,908
5065,2023-10-14,M007,Zeynep,İstanbul,U011,Elektronik,1480,3,4440
5066,2023-06-21,M007,Zeynep,İstanbul,U013,Elektronik,1127,3,3381
5067,2023-07-03,M093,Hüseyin,Antalya,U002,Kitap,197,1,197
5068,2023-09-20,M002,Elif,Antalya,U012,Kitap,276,1,276
5069,2023-10-23,M085,Ali,Bursa,U016,Elektronik,2627,3,7881
5070,2023-06-27,M093,Hüseyin,Antalya,U003,Kitap,388,1,388
5071,2023-09-18,M047,Hüseyin,Bursa,U015,Kitap,278,2,556
5072,2023-09-11,M023,Elif,İzmir,U005,Kitap,454,3,1362
5073,2023-07-20,M090,Canan,İstanbul,U018,Giyim,130,3,390
5074,2023-07-10,M096,Ayşe,Antalya,U008,Giyim,303,2,606
5075,2023-10-04,M028,Mehmet,Ankara,U017,Giyim,395,3,1185
5076,2023-07-19,M085,Ali,Bursa,U013,Elektronik,1127,1,1127
5077,2023-10-16,M069,Canan,Ankara,U005,Kitap,454,1,454
5078,2023-09-25,M010,Ali,Bursa,U013,Elektronik,1127,1,1127
5079,2023-09-25,M027,Ayşe,İstanbul,U001,Elektronik,2389,1,2389
5080,2023-09-02,M086,Elif,Antalya,U006,Kitap,125,2,250
5081,2023-08-03,M081,Fatma,İzmir,U007,Elektronik,3314,2,6628
5082,2023-08-06,M039,Elif,Bursa,U019,Elektronik,4784,1,4784
5083,2023-09-15,M008,Mehmet,Antalya,U016,Elektronik,2627,2,5254
5084,2023-08-23,M044,Elif,Bursa,U001,Elektronik,2389,3,7167
5085,2023-10-29,M038,Fatma,İstanbul,U017,Giyim,395,1,395
5086,2023-09-26,M053,Canan,Bursa,U010,Kitap,187,1,187
5087,2023-09-18,M015,Mehmet,Ankara,U014,Kitap,374,1,374
5088,2023-07-12,M016,Mustafa,İzmir,U015,Kitap,278,1,278
5089,2023-06-21,M049,Ayşe,Bursa,U018,Giyim,130,1,130
5090,2023-08-06,M067,Canan,Bursa,U018,Giyim,130,3,390
5091,2023-09-16,M062,Ali,Bursa,U003,Kitap,388,1,388
5092,2023-10-01,M097,Fatma,Antalya,U014,Kitap,374,1,374
5093,2023-09-22,M051,Ayşe,İstanbul,U001,Elektronik,2389,2,4778
5094,2023-10-05,M082,Ali,Antalya,U019,Elektronik,4784,3,14352
5095,2023-10-22,M054,Mehmet,Bursa,U010,Kitap,187,3,561
5096,2023-07-13,M020,Canan,İzmir,U015,Kitap,278,1,278
5097,2023-10-25,M061,Elif,İstanbul,U016,Elektronik,2627,2,5254
5098,2023-10-20,M052,Ayşe,Ankara,U010,Kitap,187,2,374
5099,2023-10-07,M077,Fatma,İstanbul,U001,Elektronik,2389,3,7167
5100,2023-08-17,M048,Mehmet,Antalya,U015,Kitap,278,1,278
5101,2023-09-04,M031,Canan,Antalya,U008,Giyim,303,3,909
5102,2023-06-07,M021,Mehmet,Ankara,U017,Giyim,395,3,1185
5103,2023-06-15,M073,Mustafa,Ankara,U002,Kitap,197,1,197
5104,2023-07-13,M054,Mehmet,Bursa,U010,Kitap,187,1,187
5105,2023-09-28,M004,Ali,Ankara,U006,Kitap,125,2,250
5106,2023-08-02,M006,Ayşe,Ankara,U017,Giyim,395,1,395
5107,2023-10-04,M003,Fatma,Bursa,U005,Kitap,454,2,908
5108,2023-06-06,M099,Canan,Antalya,U012,Kitap,276,2,552
5109,2023-08-06,M081,Fatma,İzmir,U012,Kitap,276,1,276
5110,2023-06-11,M020,Canan,İzmir,U009,Giyim,407,1,407
5111,2023-06-30,M084,Elif,İzmir,U008,Giyim,303,3,909
5112,2023-08-15,M092,Zeynep,İzmir,U016,Elektronik,2627,2,5254
5113,2023-09-18,M041,Fatma,Antalya,U018,Giyim,130,3,390
5114,2023-08-15,M043,Elif,İstanbul,U020,Giyim,461,2,922
5115,2023-10-02,M008,Mehmet,Antalya,U004,Giyim,124,3,372
5116,2023-10-03,M093,Hüseyin,Antalya,U012,Kitap,276,3,828
5117,2023-08-31,M056,Ali,Bursa,U016,Elektronik,2627,1,2627
5118,2023-07-19,M021,Mehmet,Ankara,U019,Elektronik,4784,3,14352
5119,2023-08-13,M097,Fatma,Antalya,U011,Elektronik,1480,1,1480
5120,2023-09-18,M001,Canan,İstanbul,U019,Elektronik,4784,3,14352
5121,2023-07-14,M099,Canan,Antalya,U002,Kitap,197,1,197
5122,2023-09-09,M062,Ali,Bursa,U012,Kitap,276,1,276
5123,2023-07-22,M050,Ahmet,Bursa,U008,Giyim,303,3,909
5124,2023-06-14,M010,Ali,Bursa,U016,Elektronik,2627,3,7881
5125,2023-06-22,M033,Ali,Ankara,U016,Elektronik,2627,3,7881
5126,2023-06-23,M085,Ali,Bursa,U020,Giyim,461,1,461
5127,2023-07-14,M083,Mustafa,İzmir,U006,Kitap,125,2,250
5128,2023-07-19,M052,Ayşe,Ankara,U018,Giyim,130,3,390
5129,2023-09-20,M055,Mustafa,Bursa,U008,Giyim,303,2,606
5130,2023-09-01,M025,Mehmet,Bursa,U008,Giyim,303,2,606
5131,2023-07-21,M092,Zeynep,İzmir,U005,Kitap,454,3,1362
5132,2023-10-12,M085,Ali,Bursa,U002,Kitap,197,3,591
5133,2023-06-21,M024,Ayşe,Antalya,U007,Elektronik,3314,3,9942
5134,2023-06-01,M051,Ayşe,İstanbul,U018,Giyim,130,3,390
5135,2023-10-24,M065,Ayşe,İzmir,U008,Giyim,303,2,606
5136,2023-10-28,M041,Fatma,Antalya,U016,Elektronik,2627,3,7881
5137,2023-08-02,M023,Elif,İzmir,U016,Elektronik,2627,2,5254
5138,2023-10-09,M052,Ayşe,Ankara,U015,Kitap,278,1,278
5139,2023-10-11,M054,Mehmet,Bursa,U020,Giyim,461,3,1383
5140,2023-06-16,M012,Elif,Ankara,U008,Giyim,303,1,303
5141,2023-08-09,M093,Hüseyin,Antalya,U003,Kitap,388,1,388
5142,2023-08-13,M036,Fatma,İstanbul,U011,Elektronik,1480,3,4440
5143,2023-08-29,M048,Mehmet,Antalya,U005,Kitap,454,3,1362
5144,2023-06-19,M082,Ali,Antalya,U005,Kitap,454,1,454
5145,2023-07-01,M097,Fatma,Antalya,U015,Kitap,278,2,556
5146,2023-06-06,M079,Zeynep,İzmir,U020,Giyim,461,1,461
5147,2023-09-13,M077,Fatma,İstanbul,U005,Kitap,454,1,454
5148,2023-06-17,M061,Elif,İstanbul,U015,Kitap,278,1,278
5149,2023-08-08,M011,Ali,İzmir,U011,Elektronik,1480,1,1480
5150,2023-09-22,M082,Ali,Antalya,U002,Kitap,197,3,591
5151,2023-06-11,M095,Fatma,Ankara,U017,Giyim,395,3,1185
5152,2023-09-21,M007,Zeynep,İstanbul,U002,Kitap,197,3,591
5153,2023-10-16,M053,Canan,Bursa,U018,Giyim,130,2,260
5154,2023-10-26,M096,Ayşe,Antalya,U020,Giyim,461,3,1383
5155,2023-07-05,M047,Hüseyin,Bursa,U010,Kitap,187,2,374
5156,2023-08-31,M093,Hüseyin,Antalya,U011,Elektronik,1480,1,1480
5157,2023-08-29,M034,Mehmet,Ankara,U010,Kitap,187,3,561
5158,2023-08-04,M072,Mustafa,Bursa,U004,Giyim,124,3,372
5159,2023-09-27,M049,Ayşe,Bursa,U011,Elektronik,1480,2,2960
5160,2023-08-10,M052,Ayşe,Ankara,U006,Kitap,125,1,125
5161,2023-07-14,M020,Canan,İzmir,U018,Giyim,130,1,130
5162,2023-09-19,M057,Zeynep,Antalya,U012,Kitap,276,2,552
5163,2023-07-19,M021,Mehmet,Ankara,U011,Elektronik,1480,3,4440
5164,2023-06-13,M082,Ali,Antalya,U005,Kitap,454,1,454
5165,2023-07-14,M098,Ayşe,Bursa,U019,Elektronik,4784,3,14352
5166,2023-07-09,M069,Canan,Ankara,U018,Giyim,130,1,130
5167,2023-08-30,M074,Canan,İzmir,U010,Kitap,187,2,374
5168,2023-08-18,M098,Ayşe,Bursa,U012,Kitap,276,2,552
5169,2023-08-30,M010,Ali,Bursa,U007,Elektronik,3314,1,3314
5170,2023-10-23,M083,Mustafa,İzmir,U003,Kitap,388,1,388
5171,2023-07-31,M057,Zeynep,Antalya,U018,Giyim,130,3,390
5172,2023-10-21,M080,Elif,Bursa,U009,Giyim,407,3,1221
5173,2023-10-07,M038,Fatma,İstanbul,U002,Kitap,197,2,394
5174,2023-09-28,M085,Ali,Bursa,U011,Elektronik,1480,3,4440
5175,2023-09-04,M090,Canan,İstanbul,U002,Kitap,197,2,394
5176,2023-08-12,M062,Ali,Bursa,U016,Elektronik,2627,3,7881
5177,2023-09-04,M063,Ali,İstanbul,U001,Elektronik,2389,2,4778
5178,2023-09-29,M075,Ahmet,Ankara,U019,Elektronik,4784,1,4784
5179,2023-09-20,M030,Fatma,İzmir,U013,Elektronik,1127,2,2254
5180,2023-06-28,M088,Zeynep,Bursa,U009,Giyim,407,2,814
5181,2023-06-28,M015,Mehmet,Ankara,U003,Kitap,388,2,776
5182,2023-07-16,M056,Ali,Bursa,U008,Giyim,303,3,909
5183,2023-06-02,M088,Zeynep,Bursa,U006,Kitap,125,3,375
5184,2023-07-12,M071,Ali,Bursa,U010,Kitap,187,2,374
5185,2023-07-02,M074,Canan,İzmir,U007,Elektronik,3314,1,3314
5186,2023-08-27,M041,Fatma,Antalya,U001,Elektronik,2389,2,4778
5187,2023-06-15,M025,Mehmet,Bursa,U015,Kitap,278,3,834
5188,2023-10-24,M100,Canan,İstanbul,U016,Elektronik,2627,1,2627
5189,2023-08-15,M003,Fatma,Bursa,U018,Giyim,130,3,390
5190,2023-06-27,M023,Elif,İzmir,U017,Giyim,395,1,395
5191,2023-10-26,M064,Canan,Antalya,U010,Kitap,187,2,374
5192,2023-07-13,M007,Zeynep,İstanbul,U013,Elektronik,1127,1,1127
5193,2023-10-01,M049,Ayşe,Bursa,U001,Elektronik,2389,2,4778
5194,2023-10-24,M053,Canan,Bursa,U020,Giyim,461,3,1383
5195,2023-06-08,M082,Ali,Antalya,U001,Elektronik,2389,3,7167
5196,2023-09-12,M022,Fatma,İstanbul,U009,Giyim,407,1,407
5197,2023-10-02,M076,Canan,Bursa,U017,Giyim,395,2,790
5198,2023-10-17,M031,Canan,Antalya,U011,Elektronik,1480,1,1480
5199,2023-10-28,M047,Hüseyin,Bursa,U019,Elektronik,4784,1,4784
5200,2023-07-08,M074,Canan,İzmir,U001,Elektronik,2389,1,2389
5201,2023-08-09,M017,Fatma,İzmir,U007,Elektronik,3314,1,3314
5202,2023-10-04,M096,Ayşe,Antalya,U003,Kitap,388,2,776
5203,2023-09-24,M094,Ali,Antalya,U002,Kitap,197,2,394
5204,2023-07-25,M090,Canan,İstanbul,U001,Elektronik,2389,1,2389
5205,2023-07-23,M079,Zeynep,İzmir,U019,Elektronik,4784,3,14352
5206,2023-06-08,M097,Fatma,Antalya,U012,Kitap,276,2,552
5207,2023-10-04,M020,Canan,İzmir,U017,Giyim,395,2,790
5208,2023-09-29,M012,Elif,Ankara,U005,Kitap,454,1,454
5209,2023-10-05,M039,Elif,Bursa,U006,Kitap,125,3,375
5210,2023-06-15,M061,Elif,İstanbul,U010,Kitap,187,2,374
5211,2023-09-01,M038,Fatma,İstanbul,U002,Kitap,197,1,197
5212,2023-10-13,M011,Ali,İzmir,U012,Kitap,276,2,552
5213,2023-10-21,M005,Mustafa,Bursa,U004,Giyim,124,3,372
5214,2023-06-12,M022,Fatma,İstanbul,U005,Kitap,454,1,454
5215,2023-06-13,M086,Elif,Antalya,U014,Kitap,374,1,374
5216,2023-09-14,M039,Elif,Bursa,U002,Kitap,197,2,394
5217,2023-08-15,M043,Elif,İstanbul,U017,Giyim,395,2,790
5218,2023-06-04,M033,Ali,Ankara,U013,Elektronik,1127,3,3381
5219,2023-09-28,M070,Fatma,İstanbul,U001,Elektronik,2389,1,2389
5220,2023-09-05,M072,Mustafa,Bursa,U003,Kitap,388,3,1164
5221,2023-08-08,M090,Canan,İstanbul,U012,Kitap,276,3,828
5222,2023-06-13,M070,Fatma,İstanbul,U002,Kitap,197,2,394
5223,2023-08-19,M075,Ahmet,Ankara,U015,Kitap,278,2,556
5224,2023-08-28,M022,Fatma,İstanbul,U006,Kitap,125,2,250
5225,2023-07-27,M013,Canan,Bursa,U012,Kitap,276,2,552
5226,2023-06-02,M007,Zeynep,İstanbul,U010,Kitap,187,3,561
5227,2023-09-01,M037,Ahmet,İzmir,U004,Giyim,124,1,124
5228,2023-06-08,M017,Fatma,İzmir,U019,Elektronik,4784,2,9568
5229,2023-10-16,M030,Fatma,İzmir,U012,Kitap,276,1,276
5230,2023-10-18,M078,Hüseyin,İstanbul,U010,Kitap,187,3,561
5231,2023-09-09,M049,Ayşe,Bursa,U018,Giyim,130,3,390
5232,2023-06-02,M058,Mehmet,Ankara,U011,Elektronik,1480,3,4440
5233,2023-07-19,M017,Fatma,İzmir,U010,Kitap,187,2,374
5234,2023-08-12,M045,Mehmet,Bursa,U017,Giyim,395,2,790
5235,2023-09-24,M090,Canan,İstanbul,U004,Giyim,124,1,124
5236,2023-10-16,M029,Hüseyin,Bursa,U013,Elektronik,1127,2,2254
5237,2023-08-03,M087,Ayşe,Antalya,U010,Kitap,187,3,561
5238,2023-06-06,M088,Zeynep,Bursa,U014,Kitap,374,1,374
5239,2023-07-24,M030,Fatma,İzmir,U013,Elektronik,1127,1,1127
5240,2023-09-01,M007,Zeynep,İstanbul,U003,Kitap,388,2,776
5241,2023-06-16,M014,Canan,İstanbul,U006,Kitap,125,3,375
5242,2023-09-14,M010,Ali,Bursa,U001,Elektronik,2389,1,2389
5243,2023-10-21,M090,Canan,İstanbul,U003,Kitap,388,3,1164
5244,2023-08-06,M056,Ali,Bursa,U016,Elektronik,2627,1,2627
5245,2023-06-27,M003,Fatma,Bursa,U018,Giyim,130,1,130
5246,2023-06-20,M073,Mustafa,Ankara,U020,Giyim,461,2,922
5247,2023-06-20,M083,Mustafa,İzmir,U009,Giyim,407,2,814
5248,2023-08-16,M078,Hüseyin,İstanbul,U004,Giyim,124,3,372
5249,2023-09-23,M030,Fatma,İzmir,U008,Giyim,303,1,303
5250,2023-08-15,M062,Ali,Bursa,U011,Elektronik,1480,1,1480
5251,2023-09-20,M056,Ali,Bursa,U002,Kitap,197,1,197
5252,2023-07-07,M056,Ali,Bursa,U009,Giyim,407,2,814
5253,2023-08-13,M019,Elif,İstanbul,U019,Elektronik,4784,3,14352
5254,2023-10-20,M073,Mustafa,Ankara,U017,Giyim,395,2,790
5255,2023-09-12,M027,Ayşe,İstanbul,U016,Elektronik,2627,3,7881
5256,2023-06-13,M013,Canan,Bursa,U009,Giyim,407,1,407
5257,2023-06-26,M051,Ayşe,İstanbul,U018,Giyim,130,1,130
5258,2023-08-10,M067,Canan,Bursa,U008,Giyim,303,1,303
5259,2023-06-15,M015,Mehmet,Ankara,U002,Kitap,197,3,591
5260,2023-10-07,M054,Mehmet,Bursa,U013,Elektronik,1127,3,3381
5261,2023-07-04,M005,Mustafa,Bursa,U004,Giyim,124,2,248
5262,2023-07-27,M040,Mehmet,Bursa,U002,Kitap,197,2,394
5263,2023-09-21,M041,Fatma,Antalya,U010,Kitap,187,3,561
5264,2023-06-06,M070,Fatma,İstanbul,U014,Kitap,374,3,1122
5265,2023-07-24,M028,Mehmet,Ankara,U006,Kitap,125,1,125
5266,2023-07-07,M005,Mustafa,Bursa,U020,Giyim,461,3,1383
5267,2023-08-04,M035,Zeynep,İzmir,U011,Elektronik,1480,3,4440
5268,2023-06-13,M077,Fatma,İstanbul,U012,Kitap,276,3,828
5269,2023-07-06,M098,Ayşe,Bursa,U018,Giyim,130,3,390
5270,2023-08-04,M027,Ayşe,İstanbul,U013,Elektronik,1127,2,2254
5271,2023-09-09,M055,Mustafa,Bursa,U019,Elektronik,4784,3,14352
5272,2023-09-15,M057,Zeynep,Antalya,U012,Kitap,276,2,552
5273,2023-08-21,M072,Mustafa,Bursa,U008,Giyim,303,3,909
5274,2023-06-06,M051,Ayşe,İstanbul,U002,Kitap,197,3,591
5275,2023-07-14,M063,Ali,İstanbul,U015,Kitap,278,1,278
5276,2023-06-09,M058,Mehmet,Ankara,U008,Giyim,303,2,606
5277,2023-06-20,M076,Canan,Bursa,U006,Kitap,125,1,125
5278,2023-10-17,M090,Canan,İstanbul,U004,Giyim,124,3,372
5279,2023-10-16,M083,Mustafa,İzmir,U006,Kitap,125,1,125
5280,2023-07-12,M078,Hüseyin,İstanbul,U012,Kitap,276,3,828
5281,2023-09-28,M007,Zeynep,İstanbul,U017,Giyim,395,1,395
5282,2023-06-19,M019,Elif,İstanbul,U015,Kitap,278,3,834
5283,2023-06-26,M032,Ayşe,İzmir,U016,Elektronik,2627,1,2627
5284,2023-07-05,M023,Elif,İzmir,U006,Kitap,125,3,375
5285,2023-09-27,M031,Canan,Antalya,U003,Kitap,388,1,388
5286,2023-06-19,M015,Mehmet,Ankara,U004,Giyim,124,3,372
5287,2023-06-26,M099,Canan,Antalya,U002,Kitap,197,2,394
5288,2023-10-28,M057,Zeynep,Antalya,U003,Kitap,388,1,388
5289,2023-07-22,M096,Ayşe,Antalya,U004,Giyim,124,1,124
5290,2023-09-04,M082,Ali,Antalya,U019,Elektronik,4784,1,4784
5291,2023-08-21,M068,Zeynep,Ankara,U009,Giyim,407,1,407
5292,2023-07-24,M065,Ayşe,İzmir,U018,Giyim,130,2,260
5293,2023-09-23,M026,Zeynep,Antalya,U018,Giyim,130,2,260
5294,2023-08-16,M075,Ahmet,Ankara,U018,Giyim,130,3,390
5295,2023-08-28,M058,Mehmet,Ankara,U001,Elektronik,2389,1,2389
5296,2023-08-05,M034,Mehmet,Ankara,U017,Giyim,395,1,395
5297,2023-09-14,M079,Zeynep,İzmir,U014,Kitap,374,2,748
5298,2023-08-16,M056,Ali,Bursa,U003,Kitap,388,1,388
5299,2023-07-07,M099,Canan,Antalya,U012,Kitap,276,1,276
5300,2023-08-08,M009,Hüseyin,Bursa,U013,Elektronik,1127,1,1127
5301,2023-08-27,M031,Canan,Antalya,U002,Kitap,197,2,394
5302,2023-09-10,M099,Canan,Antalya,U014,Kitap,374,3,1122
5303,2023-08-27,M009,Hüseyin,Bursa,U009,Giyim,407,3,1221
5304,2023-06-03,M051,Ayşe,İstanbul,U008,Giyim,303,3,909
5305,2023-08-17,M038,Fatma,İstanbul,U008,Giyim,303,1,303
5306,2023-07-15,M003,Fatma,Bursa,U007,Elektronik,3314,1,3314
5307,2023-08-07,M002,Elif,Antalya,U004,Giyim,124,2,248
5308,2023-08-29,M061,Elif,İstanbul,U004,Giyim,124,1,124
5309,2023-09-12,M075,Ahmet,Ankara,U018,Giyim,130,3,390
5310,2023-09-10,M042,Mustafa,Bursa,U004,Giyim,124,2,248
5311,2023-06-13,M055,Mustafa,Bursa,U014,Kitap,374,3,1122
5312,2023-06-01,M046,Canan,İzmir,U011,Elektronik,1480,3,4440
5313,2023-09-20,M077,Fatma,İstanbul,U004,Giyim,124,3,372
5314,2023-06-13,M074,Canan,İzmir,U017,Giyim,395,3,1185
5315,2023-10-06,M056,Ali,Bursa,U004,Giyim,124,3,372
5316,2023-06-20,M021,Mehmet,Ankara,U013,Elektronik,1127,2,2254
5317,2023-08-08,M015,Mehmet,Ankara,U005,Kitap,454,2,908
5318,2023-10-15,M039,Elif,Bursa,U020,Giyim,461,1,461
5319,2023-09-19,M086,Elif,Antalya,U004,Giyim,124,2,248
5320,2023-09-06,M043,Elif,İstanbul,U007,Elektronik,3314,1,3314
5321,2023-07-01,M079,Zeynep,İzmir,U014,Kitap,374,1,374
5322,2023-08-23,M060,Fatma,Antalya,U016,Elektronik,2627,2,5254
5323,2023-06-11,M019,Elif,İstanbul,U019,Elektronik,4784,1,4784
5324,2023-08-06,M068,Zeynep,Ankara,U016,Elektronik,2627,2,5254
5325,2023-07-09,M095,Fatma,Ankara,U009,Giyim,407,1,407
5326,2023-06-16,M051,Ayşe,İstanbul,U010,Kitap,187,3,561
5327,2023-09-26,M047,Hüseyin,Bursa,U019,Elektronik,4784,3,14352
5328,2023-09-30,M092,Zeynep,İzmir,U012,Kitap,276,1,276
5329,2023-07-10,M073,Mustafa,Ankara,U010,Kitap,187,3,561
5330,2023-07-15,M086,Elif,Antalya,U009,Giyim,407,3,1221
5331,2023-07-04,M027,Ayşe,İstanbul,U017,Giyim,395,1,395
5332,2023-09-29,M026,Zeynep,Antalya,U003,Kitap,388,2,776
5333,2023-08-27,M042,Mustafa,Bursa,U015,Kitap,278,1,278
5334,2023-06-25,M047,Hüseyin,Bursa,U006,Kitap,125,3,375
5335,2023-10-12,M069,Canan,Ankara,U002,Kitap,197,3,591
5336,2023-08-06,M094,Ali,Antalya,U019,Elektronik,4784,1,4784
5337,2023-08-18,M047,Hüseyin,Bursa,U020,Giyim,461,3,1383
5338,2023-09-26,M047,Hüseyin,Bursa,U005,Kitap,454,1,454
5339,2023-08-07,M083,Mustafa,İzmir,U010,Kitap,187,2,374
5340,2023-06-24,M056,Ali,Bursa,U003,Kitap,388,3,1164
5341,2023-09-22,M046,Canan,İzmir,U016,Elektronik,2627,2,5254
5342,2023-09-04,M052,Ayşe,Ankara,U006,Kitap,125,3,375
5343,2023-07-26,M030,Fatma,İzmir,U002,Kitap,197,2,394
5344,2023-06-25,M005,Mustafa,Bursa,U019,Elektronik,4784,1,4784
5345,2023-08-26,M091,Ali,İstanbul,U007,Elektronik,3314,2,6628
5346,2023-09-26,M053,Canan,Bursa,U001,Elektronik,2389,2,4778
5347,2023-08-11,M002,Elif,Antalya,U003,Kitap,388,2,776
5348,2023-09-18,M004,Ali,Ankara,U008,Giyim,303,2,606
5349,2023-10-29,M024,Ayşe,Antalya,U017,Giyim,395,3,1185
5350,2023-07-19,M005,Mustafa,Bursa,U017,Giyim,395,2,790
5351,2023-10-17,M053,Canan,Bursa,U013,Elektronik,1127,2,2254
5352,2023-06-20,M024,Ayşe,Antalya,U017,Giyim,395,1,395
5353,2023-07-28,M014,Canan,İstanbul,U002,Kitap,197,3,591
5354,2023-06-15,M075,Ahmet,Ankara,U001,Elektronik,2389,2,4778
5355,2023-08-10,M041,Fatma,Antalya,U019,Elektronik,4784,3,14352
5356,2023-10-10,M090,Canan,İstanbul,U015,Kitap,278,2,556
5357,2023-10-15,M074,Canan,İzmir,U003,Kitap,388,1,388
5358,2023-09-24,M041,Fatma,Antalya,U016,Elektronik,2627,2,5254
5359,2023-09-22,M055,Mustafa,Bursa,U013,Elektronik,1127,1,1127
5360,2023-10-20,M060,Fatma,Antalya,U009,Giyim,407,1,407
5361,2023-06-08,M018,Mustafa,Bursa,U005,Kitap,454,3,1362
5362,2023-08-02,M090,Canan,İstanbul,U012,Kitap,276,1,276
